Sector of Institution,Reporting Location,Offense,Date,Count
"Public, less-than 2-year",Public Property,Arrest - Liquor Law Violations,sum2013,8
"Private nonprofit, less-than 2-year",Public Property,Arrest - Liquor Law Violations,sum2013,2
"Private for-profit, less-than 2-year",Public Property,Arrest - Liquor Law Violations,sum2013,84
"Public, 4-year or above",Public Property,Arrest - Liquor Law Violations,sum2014,4750
"Private nonprofit, 4-year or above",Public Property,Arrest - Liquor Law Violations,sum2014,1165
"Private for-profit, 4-year or above",Public Property,Arrest - Liquor Law Violations,sum2014,30
"Public, 2-year",Public Property,Arrest - Liquor Law Violations,sum2014,318
"Private nonprofit, 2-year",Public Property,Arrest - Liquor Law Violations,sum2014,16
"Private for-profit, 2-year",Public Property,Arrest - Liquor Law Violations,sum2014,90
"Public, less-than 2-year",Public Property,Arrest - Liquor Law Violations,sum2014,7
"Private nonprofit, less-than 2-year",Public Property,Arrest - Liquor Law Violations,sum2014,3
"Private for-profit, less-than 2-year",Public Property,Arrest - Liquor Law Violations,sum2014,77
"Public, 4-year or above",Public Property,Arrest - Liquor Law Violations,sum2015,4150
"Private nonprofit, 4-year or above",Public Property,Arrest - Liquor Law Violations,sum2015,846
"Private for-profit, 4-year or above",Public Property,Arrest - Liquor Law Violations,sum2015,70
"Public, 2-year",Public Property,Arrest - Liquor Law Violations,sum2015,413
"Private nonprofit, 2-year",Public Property,Arrest - Liquor Law Violations,sum2015,22
"Private for-profit, 2-year",Public Property,Arrest - Liquor Law Violations,sum2015,55
"Public, less-than 2-year",Public Property,Arrest - Liquor Law Violations,sum2015,11
"Private nonprofit, less-than 2-year",Public Property,Arrest - Liquor Law Violations,sum2015,1
"Private for-profit, less-than 2-year",Public Property,Arrest - Liquor Law Violations,sum2015,73
"Public, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2013,9
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2013,5
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2013,0
"Public, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2013,7
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2013,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2013,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2013,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2013,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2014,3
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2014,2
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2014,0
"Public, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2014,2
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2014,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2014,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2014,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2014,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2015,10
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2015,1
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2015,0
"Public, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2015,13
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2015,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2015,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2015,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Murder,sum2015,0
"Public, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Murder,sum2013,2
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Murder,sum2013,0
"Private for-profit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Murder,sum2013,1
"Public, 2-year",On Campus (Residence Halls),Criminal Offenses - Murder,sum2013,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Criminal Offenses - Murder,sum2013,0
"Private for-profit, 2-year",On Campus (Residence Halls),Criminal Offenses - Murder,sum2013,0
"Public, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Murder,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Murder,sum2013,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Murder,sum2013,0
"Public, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Murder,sum2014,0
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Murder,sum2014,3
"Private for-profit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Murder,sum2014,0
"Public, 2-year",On Campus (Residence Halls),Criminal Offenses - Murder,sum2014,1
"Private nonprofit, 2-year",On Campus (Residence Halls),Criminal Offenses - Murder,sum2014,0
"Private for-profit, 2-year",On Campus (Residence Halls),Criminal Offenses - Murder,sum2014,0
"Public, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Murder,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Murder,sum2014,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Murder,sum2014,0
"Public, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Murder,sum2015,3
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Murder,sum2015,1
"Private for-profit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Murder,sum2015,0
"Public, 2-year",On Campus (Residence Halls),Criminal Offenses - Murder,sum2015,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Criminal Offenses - Murder,sum2015,0
"Private for-profit, 2-year",On Campus (Residence Halls),Criminal Offenses - Murder,sum2015,0
"Public, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Murder,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Murder,sum2015,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Murder,sum2015,0
"Public, 4-year or above",Non-Campus,Criminal Offenses - Murder,sum2013,1
"Private nonprofit, 4-year or above",Non-Campus,Criminal Offenses - Murder,sum2013,2
"Private for-profit, 4-year or above",Non-Campus,Criminal Offenses - Murder,sum2013,2
"Public, 2-year",Non-Campus,Criminal Offenses - Murder,sum2013,1
"Private nonprofit, 2-year",Non-Campus,Criminal Offenses - Murder,sum2013,0
"Private for-profit, 2-year",Non-Campus,Criminal Offenses - Murder,sum2013,0
"Public, less-than 2-year",Non-Campus,Criminal Offenses - Murder,sum2013,0
"Private nonprofit, less-than 2-year",Non-Campus,Criminal Offenses - Murder,sum2013,0
"Private for-profit, less-than 2-year",Non-Campus,Criminal Offenses - Murder,sum2013,0
"Public, 4-year or above",Non-Campus,Criminal Offenses - Murder,sum2014,0
"Private nonprofit, 4-year or above",Non-Campus,Criminal Offenses - Murder,sum2014,0
"Private for-profit, 4-year or above",Non-Campus,Criminal Offenses - Murder,sum2014,0
"Public, 2-year",Non-Campus,Criminal Offenses - Murder,sum2014,0
"Private nonprofit, 2-year",Non-Campus,Criminal Offenses - Murder,sum2014,0
"Private for-profit, 2-year",Non-Campus,Criminal Offenses - Murder,sum2014,0
"Public, less-than 2-year",Non-Campus,Criminal Offenses - Murder,sum2014,0
"Private nonprofit, less-than 2-year",Non-Campus,Criminal Offenses - Murder,sum2014,0
"Private for-profit, less-than 2-year",Non-Campus,Criminal Offenses - Murder,sum2014,0
"Public, 4-year or above",Non-Campus,Criminal Offenses - Murder,sum2015,9
"Private nonprofit, 4-year or above",Non-Campus,Criminal Offenses - Murder,sum2015,2
"Private for-profit, 4-year or above",Non-Campus,Criminal Offenses - Murder,sum2015,0
"Public, 2-year",Non-Campus,Criminal Offenses - Murder,sum2015,1
"Private nonprofit, 2-year",Non-Campus,Criminal Offenses - Murder,sum2015,0
"Private for-profit, 2-year",Non-Campus,Criminal Offenses - Murder,sum2015,0
"Public, less-than 2-year",Non-Campus,Criminal Offenses - Murder,sum2015,0
"Private nonprofit, less-than 2-year",Non-Campus,Criminal Offenses - Murder,sum2015,0
"Private for-profit, less-than 2-year",Non-Campus,Criminal Offenses - Murder,sum2015,0
"Public, 4-year or above",Public Property,Criminal Offenses - Murder,sum2013,4
"Private nonprofit, 4-year or above",Public Property,Criminal Offenses - Murder,sum2013,6
"Private for-profit, 4-year or above",Public Property,Criminal Offenses - Murder,sum2013,0
"Public, 2-year",Public Property,Criminal Offenses - Murder,sum2013,0
"Private nonprofit, 2-year",Public Property,Criminal Offenses - Murder,sum2013,1
"Private for-profit, 2-year",Public Property,Criminal Offenses - Murder,sum2013,0
"Public, less-than 2-year",Public Property,Criminal Offenses - Murder,sum2013,0
"Private nonprofit, less-than 2-year",Public Property,Criminal Offenses - Murder,sum2013,0
"Private for-profit, less-than 2-year",Public Property,Criminal Offenses - Murder,sum2013,1
"Public, 4-year or above",Public Property,Criminal Offenses - Murder,sum2014,5
"Private nonprofit, 4-year or above",Public Property,Criminal Offenses - Murder,sum2014,8
"Private for-profit, 4-year or above",Public Property,Criminal Offenses - Murder,sum2014,3
"Public, 2-year",Public Property,Criminal Offenses - Murder,sum2014,2
"Private nonprofit, 2-year",Public Property,Criminal Offenses - Murder,sum2014,0
"Private for-profit, 2-year",Public Property,Criminal Offenses - Murder,sum2014,1
"Public, less-than 2-year",Public Property,Criminal Offenses - Murder,sum2014,0
"Private nonprofit, less-than 2-year",Public Property,Criminal Offenses - Murder,sum2014,0
"Private for-profit, less-than 2-year",Public Property,Criminal Offenses - Murder,sum2014,2
"Public, 4-year or above",Public Property,Criminal Offenses - Murder,sum2015,2
"Private nonprofit, 4-year or above",Public Property,Criminal Offenses - Murder,sum2015,5
"Private for-profit, 4-year or above",Public Property,Criminal Offenses - Murder,sum2015,2
"Public, 2-year",Public Property,Criminal Offenses - Murder,sum2015,0
"Private nonprofit, 2-year",Public Property,Criminal Offenses - Murder,sum2015,0
"Private for-profit, 2-year",Public Property,Criminal Offenses - Murder,sum2015,0
"Public, less-than 2-year",Public Property,Criminal Offenses - Murder,sum2015,0
"Private nonprofit, less-than 2-year",Public Property,Criminal Offenses - Murder,sum2015,0
"Private for-profit, less-than 2-year",Public Property,Criminal Offenses - Murder,sum2015,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2013,0
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2013,0
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2013,0
"Public, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2013,0
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2013,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2013,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2013,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2013,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2014,1
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2014,0
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2014,0
"Public, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2014,1
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2014,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2014,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2014,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2014,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2015,0
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2015,0
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2015,0
"Public, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2015,0
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2015,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2015,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2015,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2015,0
"Public, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2013,0
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2013,0
"Private for-profit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2013,0
"Public, 2-year",On Campus (Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2013,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2013,0
"Private for-profit, 2-year",On Campus (Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2013,0
"Public, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2013,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2013,0
"Public, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2014,0
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Negligent Manslaughter,sum2014,0
